Role,Model,Feature Set,N Features,Test Accuracy,Macro F1,Precision,Recall,ROC-AUC,PR-AUC,Params,Size (B),Mean Lat predict (us),P95 Lat predict (us),P99 Lat predict (us),Mean Lat proba (us),P95 Lat proba (us)
Mode A,LR Binary (full),full,14,0.767857,0.679278,0.79716,0.905375,0.871447,0.95075,15.0,975,90.12,118.1,209.2,73.33,105.11
Mode A,DT Binary d=3 (full),full,14,0.920536,0.893769,0.90297,0.99575,0.94487,0.961021,15.0,2473,68.1,89.8,159.6,64.07,84.41
Mode A,DT Binary d=5 (full),full,14,0.990804,0.988693,0.991168,0.996,0.992313,0.994496,39.0,4393,67.74,91.21,191.31,64.71,96.6
Mode A,LR Binary (reduced),reduced,12,0.765536,0.675057,0.794951,0.90525,0.87171,0.950957,13.0,959,92.43,129.9,208.83,74.32,105.41
Mode A,DT Binary d=3 (reduced),reduced,12,0.920536,0.893769,0.90297,0.99575,0.94487,0.961021,15.0,2473,69.33,105.21,181.62,63.48,86.31
Mode A,DT Binary d=5 (reduced),reduced,12,0.990804,0.988693,0.991168,0.996,0.992313,0.994496,39.0,4393,67.77,87.41,168.7,62.03,73.81
Mode B,MLP full,full,14,0.746607,0.754328,,,,,,20592,129.0,194.71,354.62,74.34,104.1
Mode B,MLP reduced,reduced,12,0.739911,0.740593,,,,,,22336,128.73,199.43,303.01,77.56,113.81
Mode B,DT full,full,14,0.691607,0.682065,,,,,,5609,66.89,92.41,162.42,64.42,86.6
Mode B,DT reduced,reduced,12,0.691696,0.682149,,,,,,5609,70.69,120.81,180.8,62.17,76.7
Mode B,LR full,full,14,0.58,0.578561,,,,,,1351,83.54,104.8,211.51,74.52,105.41
Mode B,LR reduced,reduced,12,0.580536,0.578912,,,,,,1287,85.84,125.62,232.72,76.23,113.81
