deadline_ms,workload,policy,model,activation_count,activation_fraction
5,LOW,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
5,LOW,BALANCED,student_b_16_4_fp32,11200,1.0
5,LOW,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
5,LOW,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
5,MEDIUM,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
5,MEDIUM,BALANCED,student_b_16_4_fp32,11200,1.0
5,MEDIUM,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
5,MEDIUM,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
5,HIGH,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
5,HIGH,BALANCED,pruned_mlp_14f_75pct,11200,1.0
5,HIGH,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
5,HIGH,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
5,BURST,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
5,BURST,BALANCED,pruned_mlp_14f_75pct,11200,1.0
5,BURST,DEADLINE_PRIORITY,student_a_8_4_fp32,11200,1.0
5,BURST,COMPUTE_PRIORITY,student_a_8_4_fp32,11200,1.0
10,LOW,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
10,LOW,BALANCED,student_b_16_4_fp32,11200,1.0
10,LOW,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
10,LOW,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
10,MEDIUM,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
10,MEDIUM,BALANCED,student_b_16_4_fp32,11200,1.0
10,MEDIUM,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
10,MEDIUM,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
10,HIGH,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
10,HIGH,BALANCED,pruned_mlp_14f_75pct,11200,1.0
10,HIGH,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
10,HIGH,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
10,BURST,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
10,BURST,BALANCED,pruned_mlp_14f_75pct,11200,1.0
10,BURST,DEADLINE_PRIORITY,student_a_8_4_fp32,11200,1.0
10,BURST,COMPUTE_PRIORITY,student_a_8_4_fp32,11200,1.0
20,LOW,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
20,LOW,BALANCED,student_b_16_4_fp32,11200,1.0
20,LOW,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
20,LOW,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
20,MEDIUM,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
20,MEDIUM,BALANCED,student_b_16_4_fp32,11200,1.0
20,MEDIUM,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
20,MEDIUM,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
20,HIGH,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
20,HIGH,BALANCED,pruned_mlp_14f_75pct,11200,1.0
20,HIGH,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
20,HIGH,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
20,BURST,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
20,BURST,BALANCED,pruned_mlp_14f_75pct,11200,1.0
20,BURST,DEADLINE_PRIORITY,student_a_8_4_fp32,11200,1.0
20,BURST,COMPUTE_PRIORITY,student_a_8_4_fp32,11200,1.0
50,LOW,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
50,LOW,BALANCED,student_b_16_4_fp32,11200,1.0
50,LOW,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
50,LOW,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
50,MEDIUM,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
50,MEDIUM,BALANCED,student_b_16_4_fp32,11200,1.0
50,MEDIUM,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
50,MEDIUM,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
50,HIGH,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
50,HIGH,BALANCED,pruned_mlp_14f_75pct,11200,1.0
50,HIGH,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
50,HIGH,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
50,BURST,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
50,BURST,BALANCED,pruned_mlp_14f_75pct,11200,1.0
50,BURST,DEADLINE_PRIORITY,student_a_8_4_fp32,11200,1.0
50,BURST,COMPUTE_PRIORITY,student_a_8_4_fp32,11200,1.0
100,LOW,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
100,LOW,BALANCED,student_b_16_4_fp32,11200,1.0
100,LOW,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
100,LOW,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
100,MEDIUM,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
100,MEDIUM,BALANCED,student_b_16_4_fp32,11200,1.0
100,MEDIUM,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
100,MEDIUM,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
100,HIGH,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
100,HIGH,BALANCED,pruned_mlp_14f_75pct,11200,1.0
100,HIGH,DEADLINE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
100,HIGH,COMPUTE_PRIORITY,pruned_mlp_14f_75pct,11200,1.0
100,BURST,ACCURACY_PRIORITY,student_b_16_4_fp32,11200,1.0
100,BURST,BALANCED,pruned_mlp_14f_75pct,11200,1.0
100,BURST,DEADLINE_PRIORITY,student_a_8_4_fp32,11200,1.0
100,BURST,COMPUTE_PRIORITY,student_a_8_4_fp32,11200,1.0
