sample_index,true_label,selected_model,execution_mode,model_switch_event,confidence,host_inference_latency_us,configured_deadline_ms,deadline_met,final_prediction,final_correct,policy,workload
0,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.47824645042419434,1736.0515537152369,5,True,3,True,ACCURACY_PRIORITY,LOW
1,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5111491084098816,13.400000057117722,5,True,3,False,ACCURACY_PRIORITY,LOW
2,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.4727206230163574,9.6893966299434,5,True,2,True,ACCURACY_PRIORITY,LOW
3,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9629524350166321,6.337666470524185,5,True,0,True,ACCURACY_PRIORITY,LOW
4,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999700784683228,4.800000056093268,5,True,0,True,ACCURACY_PRIORITY,LOW
5,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5165318250656128,5.200000032345997,5,True,3,False,ACCURACY_PRIORITY,LOW
6,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9917120933532715,5.094853599631902,5,True,0,True,ACCURACY_PRIORITY,LOW
7,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9925534129142761,4.629996934087289,5,True,0,True,ACCURACY_PRIORITY,LOW
8,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
9,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.95500319598972,5,True,0,True,ACCURACY_PRIORITY,LOW
10,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
11,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.994827926158905,4.600000011123484,5,True,0,True,ACCURACY_PRIORITY,LOW
12,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5059800744056702,4.711302656313006,5,True,3,True,ACCURACY_PRIORITY,LOW
13,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5112236142158508,4.79999994240643,5,True,3,True,ACCURACY_PRIORITY,LOW
14,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9989670515060425,4.499999931795173,5,True,0,True,ACCURACY_PRIORITY,LOW
15,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9960781931877136,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
16,3,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5137527585029602,4.600000011123484,5,True,3,True,ACCURACY_PRIORITY,LOW
17,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5142792463302612,4.641411346579145,5,True,3,False,ACCURACY_PRIORITY,LOW
18,0,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9645821452140808,4.3999999661537,5,True,0,True,ACCURACY_PRIORITY,LOW
19,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.500000045482011,5,True,0,True,ACCURACY_PRIORITY,LOW
20,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9999966621398926,5.159541998162776,5,True,1,True,ACCURACY_PRIORITY,LOW
21,2,student_b_16_4_fp32,HIGH_FIDELITY,False,0.5114749073982239,4.2000000348707545,5,True,3,False,ACCURACY_PRIORITY,LOW
22,0,student_b_16_4_fp32,HIGH_FIDELITY,False,1.0,4.5303877378987085,5,True,0,True,ACCURACY_PRIORITY,LOW
23,1,student_b_16_4_fp32,HIGH_FIDELITY,False,0.9995043277740479,4.600000011123484,5,True,1,True,ACCURACY_PRIORITY,LOW
