threshold,deadline_ms,trigger_rate,compliance_rate,overall_accuracy,overall_macro_f1,accuracy_met,f1_met,avg_latency_us,p95_latency_us,p99_latency_us
0.0,5,1.0,1.0,0.746607,0.754328,0.746607,0.754328,150.96,219.01,386.44
0.0,10,1.0,1.0,0.746607,0.754328,0.746607,0.754328,150.96,219.01,386.44
0.0,20,1.0,1.0,0.746607,0.754328,0.746607,0.754328,150.96,219.01,386.44
0.0,50,1.0,1.0,0.746607,0.754328,0.746607,0.754328,150.96,219.01,386.44
0.05,5,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.05,10,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.05,20,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.05,50,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.1,5,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.1,10,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.1,20,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.1,50,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.15,5,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.15,10,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.15,20,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.15,50,0.736429,1.0,0.746429,0.754135,0.746429,0.754135,129.93,201.1,351.31
0.2,5,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.2,10,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.2,20,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.2,50,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.25,5,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.25,10,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.25,20,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.25,50,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.3,5,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.3,10,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.3,20,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.3,50,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.35,5,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.35,10,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.35,20,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.35,50,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.4,5,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.4,10,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.4,20,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.4,50,0.719464,1.0,0.744643,0.752165,0.744643,0.752165,128.56,199.3,350.21
0.45,5,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.45,10,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.45,20,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.45,50,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.5,5,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.5,10,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.5,20,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.5,50,0.717768,1.0,0.743839,0.751294,0.743839,0.751294,128.43,199.3,350.21
0.55,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.55,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.55,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.55,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.6,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.6,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.6,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.6,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.65,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.65,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.65,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.65,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.7,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.7,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.7,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.7,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.75,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.75,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.75,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.75,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.8,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.8,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.8,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.8,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.85,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.85,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.85,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.85,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.9,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.9,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.9,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.9,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.95,5,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.95,10,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.95,20,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
0.95,50,0.715982,1.0,0.742679,0.750034,0.742679,0.750034,128.3,199.2,350.21
1.0,5,0.16625,1.0,0.417589,0.35349,0.417589,0.35349,84.1,149.5,240.61
1.0,10,0.16625,1.0,0.417589,0.35349,0.417589,0.35349,84.1,149.5,240.61
