policy,policy_label,threshold,is_selected_by_val,val_composite_score,test_composite_score,overall_accuracy,macro_f1,fn_rate_anomalous,avg_latency_us,p95_latency_us,p99_latency_us,deadline_5ms_compliance
accuracy_priority,Accuracy Priority,0.0,False,0.85,0.903547,0.746607,0.754328,0.0,150.96,219.01,386.44,1.0
accuracy_priority,Accuracy Priority,0.05,True,0.880346,0.93165,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
accuracy_priority,Accuracy Priority,0.1,False,0.880346,0.93165,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
accuracy_priority,Accuracy Priority,0.15,False,0.880346,0.93165,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
accuracy_priority,Accuracy Priority,0.2,False,0.876248,0.929527,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.25,False,0.876248,0.929527,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.3,False,0.876248,0.929527,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.35,False,0.876248,0.929527,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.4,False,0.876248,0.929527,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.45,False,0.873453,0.927811,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.5,False,0.873453,0.927811,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
accuracy_priority,Accuracy Priority,0.55,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.6,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.65,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.7,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.75,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.8,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.85,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.9,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,0.95,False,0.872378,0.925333,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
accuracy_priority,Accuracy Priority,1.0,False,0.15,0.148271,0.417589,0.35349,0.76725,84.1,149.5,240.61,1.0
balanced,Balanced,0.0,False,0.55,0.703709,0.746607,0.754328,0.0,150.96,219.01,386.44,1.0
balanced,Balanced,0.05,False,0.642331,0.789102,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
balanced,Balanced,0.1,False,0.642331,0.789102,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
balanced,Balanced,0.15,False,0.642331,0.789102,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
balanced,Balanced,0.2,True,0.643393,0.792655,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
balanced,Balanced,0.25,False,0.643393,0.792655,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
balanced,Balanced,0.3,False,0.643393,0.792655,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
balanced,Balanced,0.35,False,0.643393,0.792655,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
balanced,Balanced,0.4,False,0.643393,0.792655,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
balanced,Balanced,0.45,False,0.642238,0.791832,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
balanced,Balanced,0.5,False,0.642238,0.791832,0.743839,0.751294,0.004,128.43,199.3,350.21,1.0
balanced,Balanced,0.55,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.6,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.65,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.7,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.75,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.8,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.85,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.9,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,0.95,False,0.642365,0.790658,0.742679,0.750034,0.005625,128.3,199.2,350.21,1.0
balanced,Balanced,1.0,False,0.45,0.452059,0.417589,0.35349,0.76725,84.1,149.5,240.61,1.0
deadline_priority,Deadline Priority,0.0,False,0.35,0.555188,0.746607,0.754328,0.0,150.96,219.01,386.44,1.0
deadline_priority,Deadline Priority,0.05,False,0.487131,0.681743,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
deadline_priority,Deadline Priority,0.1,False,0.487131,0.681743,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
deadline_priority,Deadline Priority,0.15,False,0.487131,0.681743,0.746429,0.754135,0.00025,129.93,201.1,351.31,1.0
deadline_priority,Deadline Priority,0.2,False,0.491593,0.688979,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
deadline_priority,Deadline Priority,0.25,False,0.491593,0.688979,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
deadline_priority,Deadline Priority,0.3,False,0.491593,0.688979,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
deadline_priority,Deadline Priority,0.35,False,0.491593,0.688979,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
deadline_priority,Deadline Priority,0.4,False,0.491593,0.688979,0.744643,0.752165,0.002875,128.56,199.3,350.21,1.0
