sample_idx,true_fault,mode_a_prob_anom,threshold,mode_b_triggered,mode_a_pred,mode_b_pred,final_pred,mode_a_lat_us,mode_b_lat_us,total_lat_us,deadline_5ms_met,deadline_10ms_met,deadline_20ms_met,deadline_50ms_met
0,3,0.989894,0.5,1,1,2.0,2,116.7,146.4,263.1,1,1,1,1
1,2,1.0,0.5,1,1,3.0,3,115.0,137.8,252.8,1,1,1,1
2,2,0.997497,0.5,1,1,2.0,2,122.4,96.6,219.0,1,1,1,1
3,0,0.0,0.5,0,0,,0,100.8,0.0,100.8,1,1,1,1
4,0,0.0,0.5,0,0,,0,71.6,0.0,71.6,1,1,1,1
5,2,0.989894,0.5,1,1,2.0,2,85.5,82.2,167.7,1,1,1,1
6,0,0.0,0.5,0,0,,0,68.4,0.0,68.4,1,1,1,1
7,0,0.0,0.5,0,0,,0,67.7,0.0,67.7,1,1,1,1
8,0,0.0,0.5,0,0,,0,65.4,0.0,65.4,1,1,1,1
9,0,0.0,0.5,0,0,,0,65.6,0.0,65.6,1,1,1,1
10,0,0.0,0.5,0,0,,0,65.4,0.0,65.4,1,1,1,1
11,0,0.0,0.5,0,0,,0,72.2,0.0,72.2,1,1,1,1
12,3,0.989894,0.5,1,1,2.0,2,64.7,75.1,139.8,1,1,1,1
13,3,1.0,0.5,1,1,3.0,3,65.0,82.5,147.5,1,1,1,1
14,0,0.0,0.5,0,0,,0,73.5,0.0,73.5,1,1,1,1
15,0,0.0,0.5,0,0,,0,65.2,0.0,65.2,1,1,1,1
16,3,0.989894,0.5,1,1,3.0,3,63.1,72.1,135.2,1,1,1,1
17,2,0.989894,0.5,1,1,3.0,3,79.7,76.2,155.9,1,1,1,1
18,0,0.0,0.5,0,0,,0,65.5,0.0,65.5,1,1,1,1
19,0,0.0,0.5,0,0,,0,64.1,0.0,64.1,1,1,1,1
20,1,1.0,0.5,1,1,1.0,1,73.6,75.4,149.0,1,1,1,1
21,2,0.989894,0.5,1,1,2.0,2,64.3,72.7,137.0,1,1,1,1
22,0,0.0,0.5,0,0,,0,64.0,0.0,64.0,1,1,1,1
23,1,0.999232,0.5,1,1,1.0,1,63.3,82.3,145.6,1,1,1,1
24,3,0.989894,0.5,1,1,2.0,2,64.7,289.8,354.5,1,1,1,1
25,0,0.0,0.5,0,0,,0,159.9,0.0,159.9,1,1,1,1
26,1,0.997497,0.5,1,1,1.0,1,99.7,121.3,221.0,1,1,1,1
27,3,0.989894,0.5,1,1,3.0,3,82.1,99.1,181.2,1,1,1,1
28,0,0.0,0.5,0,0,,0,101.8,0.0,101.8,1,1,1,1
29,0,0.0,0.5,0,0,,0,101.1,0.0,101.1,1,1,1,1
30,3,1.0,0.5,1,1,2.0,2,67.5,72.3,139.8,1,1,1,1
31,1,0.989894,0.5,1,1,1.0,1,73.7,76.8,150.5,1,1,1,1
32,2,1.0,0.5,1,1,3.0,3,69.7,100.3,170.0,1,1,1,1
33,3,0.989894,0.5,1,1,2.0,2,71.2,74.8,146.0,1,1,1,1
34,0,0.0,0.5,0,0,,0,73.5,0.0,73.5,1,1,1,1
35,0,0.0,0.5,0,0,,0,66.0,0.0,66.0,1,1,1,1
36,3,1.0,0.5,1,1,2.0,2,85.2,76.1,161.3,1,1,1,1
37,0,0.0,0.5,0,0,,0,64.4,0.0,64.4,1,1,1,1
38,2,0.989894,0.5,1,1,2.0,2,66.9,72.5,139.4,1,1,1,1
39,2,1.0,0.5,1,1,2.0,2,63.1,91.2,154.3,1,1,1,1
40,1,1.0,0.5,1,1,1.0,1,66.3,82.7,149.0,1,1,1,1
41,0,0.0,0.5,0,0,,0,70.2,0.0,70.2,1,1,1,1
42,0,0.177465,0.5,0,0,,0,65.9,0.0,65.9,1,1,1,1
43,2,0.989894,0.5,1,1,3.0,3,85.3,81.9,167.2,1,1,1,1
44,3,1.0,0.5,1,1,3.0,3,69.5,73.6,143.1,1,1,1,1
45,1,0.999232,0.5,1,1,1.0,1,63.8,71.7,135.5,1,1,1,1
46,2,1.0,0.5,1,1,2.0,2,63.5,90.9,154.4,1,1,1,1
47,1,0.989894,0.5,1,1,2.0,2,75.9,75.0,150.9,1,1,1,1
48,2,0.989894,0.5,1,1,2.0,2,68.2,70.3,138.5,1,1,1,1
49,3,0.989894,0.5,1,1,3.0,3,62.7,69.7,132.4,1,1,1,1
50,3,0.989894,0.5,1,1,2.0,2,173.3,147.6,320.9,1,1,1,1
51,0,0.0,0.5,0,0,,0,114.5,0.0,114.5,1,1,1,1
52,1,0.999232,0.5,1,1,1.0,1,80.4,78.5,158.9,1,1,1,1
53,3,0.989894,0.5,1,1,3.0,3,70.6,78.4,149.0,1,1,1,1
54,3,0.989894,0.5,1,1,3.0,3,65.9,75.0,140.9,1,1,1,1
55,2,0.989894,0.5,1,1,2.0,2,66.0,73.2,139.2,1,1,1,1
56,0,0.0,0.5,0,0,,0,65.0,0.0,65.0,1,1,1,1
57,0,0.0,0.5,0,0,,0,62.4,0.0,62.4,1,1,1,1
58,3,0.989894,0.5,1,1,3.0,3,63.4,70.1,133.5,1,1,1,1
59,1,0.997497,0.5,1,1,1.0,1,63.2,71.4,134.6,1,1,1,1
60,0,0.0,0.5,0,0,,0,62.0,0.0,62.0,1,1,1,1
61,1,1.0,0.5,1,1,1.0,1,60.4,69.8,130.2,1,1,1,1
62,3,0.989894,0.5,1,1,3.0,3,62.1,69.0,131.1,1,1,1,1
63,1,1.0,0.5,1,1,1.0,1,62.0,75.7,137.7,1,1,1,1
64,0,0.0,0.5,0,0,,0,64.8,0.0,64.8,1,1,1,1
65,2,0.989894,0.5,1,1,3.0,3,62.6,71.3,133.9,1,1,1,1
66,1,0.989894,0.5,1,1,1.0,1,61.5,82.5,144.0,1,1,1,1
67,3,1.0,0.5,1,1,3.0,3,62.9,71.1,134.0,1,1,1,1
68,3,0.989894,0.5,1,1,3.0,3,62.6,70.1,132.7,1,1,1,1
69,0,0.0,0.5,0,0,,0,59.7,0.0,59.7,1,1,1,1
70,1,1.0,0.5,1,1,1.0,1,62.1,69.9,132.0,1,1,1,1
71,1,0.989894,0.5,1,1,1.0,1,63.0,69.1,132.1,1,1,1,1
72,2,0.989894,0.5,1,1,3.0,3,60.7,69.1,129.8,1,1,1,1
73,0,0.0,0.5,0,0,,0,61.2,0.0,61.2,1,1,1,1
74,0,0.0,0.5,0,0,,0,61.2,0.0,61.2,1,1,1,1
75,0,0.0,0.5,0,0,,0,60.4,0.0,60.4,1,1,1,1
76,3,0.989894,0.5,1,1,2.0,2,61.5,70.3,131.8,1,1,1,1
77,2,0.989894,0.5,1,1,3.0,3,62.0,68.1,130.1,1,1,1,1
78,2,0.989894,0.5,1,1,2.0,2,62.0,69.5,131.5,1,1,1,1
79,2,0.989894,0.5,1,1,3.0,3,60.0,85.5,145.5,1,1,1,1
80,2,1.0,0.5,1,1,3.0,3,70.1,70.6,140.7,1,1,1,1
81,0,0.0,0.5,0,0,,0,61.5,0.0,61.5,1,1,1,1
82,0,0.0,0.5,0,0,,0,61.9,0.0,61.9,1,1,1,1
83,2,0.989894,0.5,1,1,2.0,2,77.4,73.5,150.9,1,1,1,1
84,0,0.0,0.5,0,0,,0,63.3,0.0,63.3,1,1,1,1
85,1,1.0,0.5,1,1,1.0,1,63.3,73.9,137.2,1,1,1,1
86,0,0.0,0.5,0,0,,0,79.5,0.0,79.5,1,1,1,1
87,1,1.0,0.5,1,1,1.0,1,68.9,73.8,142.7,1,1,1,1
88,2,0.989894,0.5,1,1,3.0,3,66.0,70.1,136.1,1,1,1,1
89,2,0.989894,0.5,1,1,2.0,2,63.7,82.7,146.4,1,1,1,1
90,1,1.0,0.5,1,1,1.0,1,66.2,74.3,140.5,1,1,1,1
91,3,0.989894,0.5,1,1,3.0,3,65.7,68.6,134.3,1,1,1,1
92,0,0.0,0.5,0,0,,0,61.7,0.0,61.7,1,1,1,1
93,3,0.999232,0.5,1,1,3.0,3,64.6,72.2,136.8,1,1,1,1
94,3,0.989894,0.5,1,1,3.0,3,60.8,68.1,128.9,1,1,1,1
95,2,0.989894,0.5,1,1,3.0,3,61.7,70.1,131.8,1,1,1,1
96,1,1.0,0.5,1,1,1.0,1,72.4,73.4,145.8,1,1,1,1
97,2,0.999232,0.5,1,1,2.0,2,62.2,69.4,131.6,1,1,1,1
98,0,0.0,0.5,0,0,,0,61.4,0.0,61.4,1,1,1,1
99,1,1.0,0.5,1,1,1.0,1,92.3,81.3,173.6,1,1,1,1
100,1,0.989894,0.5,1,1,1.0,1,64.3,69.5,133.8,1,1,1,1
101,3,0.989894,0.5,1,1,3.0,3,62.4,69.8,132.2,1,1,1,1
102,2,0.989894,0.5,1,1,3.0,3,61.0,81.2,142.2,1,1,1,1
103,0,0.0,0.5,0,0,,0,65.3,0.0,65.3,1,1,1,1
104,1,1.0,0.5,1,1,1.0,1,62.1,69.6,131.7,1,1,1,1
105,3,0.989894,0.5,1,1,3.0,3,60.3,79.9,140.2,1,1,1,1
106,3,0.989894,0.5,1,1,2.0,2,173.2,159.6,332.8,1,1,1,1
107,0,0.0,0.5,0,0,,0,106.8,0.0,106.8,1,1,1,1
108,0,0.0,0.5,0,0,,0,87.1,0.0,87.1,1,1,1,1
109,0,0.0,0.5,0,0,,0,73.5,0.0,73.5,1,1,1,1
110,1,0.997497,0.5,1,1,1.0,1,67.7,78.2,145.9,1,1,1,1
111,3,0.989894,0.5,1,1,3.0,3,79.4,83.5,162.9,1,1,1,1
112,0,0.177465,0.5,0,0,,0,69.0,0.0,69.0,1,1,1,1
113,3,0.989894,0.5,1,1,3.0,3,65.6,73.4,139.0,1,1,1,1
114,0,0.177465,0.5,0,0,,0,78.9,0.0,78.9,1,1,1,1
115,1,0.999232,0.5,1,1,1.0,1,64.1,76.9,141.0,1,1,1,1
116,2,0.989894,0.5,1,1,3.0,3,69.1,74.0,143.1,1,1,1,1
117,0,0.0,0.5,0,0,,0,73.8,0.0,73.8,1,1,1,1
118,0,0.0,0.5,0,0,,0,68.1,0.0,68.1,1,1,1,1
119,3,0.989894,0.5,1,1,3.0,3,70.5,73.0,143.5,1,1,1,1
120,1,0.989894,0.5,1,1,1.0,1,64.7,84.1,148.8,1,1,1,1
121,0,0.0,0.5,0,0,,0,68.3,0.0,68.3,1,1,1,1
122,3,0.989894,0.5,1,1,2.0,2,66.5,85.5,152.0,1,1,1,1
123,0,0.177465,0.5,0,0,,0,79.6,0.0,79.6,1,1,1,1
124,0,0.0,0.5,0,0,,0,84.7,0.0,84.7,1,1,1,1
125,3,0.989894,0.5,1,1,1.0,1,66.6,72.8,139.4,1,1,1,1
126,0,0.0,0.5,0,0,,0,75.4,0.0,75.4,1,1,1,1
127,2,0.989894,0.5,1,1,2.0,2,67.2,72.7,139.9,1,1,1,1
128,0,0.177465,0.5,0,0,,0,64.1,0.0,64.1,1,1,1,1
129,3,0.989894,0.5,1,1,3.0,3,67.4,87.0,154.4,1,1,1,1
130,0,0.0,0.5,0,0,,0,67.3,0.0,67.3,1,1,1,1
131,2,0.989894,0.5,1,1,2.0,2,85.3,110.0,195.3,1,1,1,1
132,3,0.989894,0.5,1,1,3.0,3,111.6,95.7,207.3,1,1,1,1
133,0,0.0,0.5,0,0,,0,84.6,0.0,84.6,1,1,1,1
134,2,0.999232,0.5,1,1,3.0,3,177.2,239.6,416.8,1,1,1,1
135,0,0.0,0.5,0,0,,0,111.9,0.0,111.9,1,1,1,1
136,2,0.989894,0.5,1,1,3.0,3,188.6,164.0,352.6,1,1,1,1
137,2,0.989894,0.5,1,1,2.0,2,176.5,163.8,340.3,1,1,1,1
138,1,0.177465,0.5,0,0,,0,128.2,0.0,128.2,1,1,1,1
139,3,0.989894,0.5,1,1,3.0,3,123.5,150.9,274.4,1,1,1,1
140,2,0.989894,0.5,1,1,1.0,1,94.6,87.0,181.6,1,1,1,1
141,1,0.989894,0.5,1,1,1.0,1,72.2,78.3,150.5,1,1,1,1
142,0,0.0,0.5,0,0,,0,69.6,0.0,69.6,1,1,1,1
143,1,0.989894,0.5,1,1,1.0,1,65.7,72.2,137.9,1,1,1,1
144,2,0.989894,0.5,1,1,3.0,3,64.5,74.3,138.8,1,1,1,1
145,1,0.997497,0.5,1,1,1.0,1,64.7,71.2,135.9,1,1,1,1
146,2,0.989894,0.5,1,1,2.0,2,64.3,74.5,138.8,1,1,1,1
147,2,0.989894,0.5,1,1,3.0,3,67.8,76.0,143.8,1,1,1,1
148,3,0.989894,0.5,1,1,3.0,3,64.6,73.2,137.8,1,1,1,1
149,1,1.0,0.5,1,1,1.0,1,64.8,70.8,135.6,1,1,1,1
150,0,0.0,0.5,0,0,,0,64.0,0.0,64.0,1,1,1,1
151,3,0.989894,0.5,1,1,3.0,3,82.5,126.4,208.9,1,1,1,1
152,2,0.989894,0.5,1,1,3.0,3,122.0,127.8,249.8,1,1,1,1
153,0,0.0,0.5,0,0,,0,115.1,0.0,115.1,1,1,1,1
154,1,0.997497,0.5,1,1,1.0,1,72.2,76.7,148.9,1,1,1,1
155,2,0.989894,0.5,1,1,2.0,2,66.7,73.5,140.2,1,1,1,1
156,3,0.989894,0.5,1,1,3.0,3,83.5,78.6,162.1,1,1,1,1
157,2,0.989894,0.5,1,1,3.0,3,71.8,70.6,142.4,1,1,1,1
158,3,1.0,0.5,1,1,2.0,2,65.3,70.9,136.2,1,1,1,1
159,0,0.0,0.5,0,0,,0,62.1,0.0,62.1,1,1,1,1
160,2,0.989894,0.5,1,1,3.0,3,66.2,69.0,135.2,1,1,1,1
161,1,0.989894,0.5,1,1,1.0,1,73.3,71.8,145.1,1,1,1,1
162,1,0.989894,0.5,1,1,1.0,1,70.8,94.5,165.3,1,1,1,1
163,1,0.997497,0.5,1,1,1.0,1,75.2,77.2,152.4,1,1,1,1
164,0,0.0,0.5,0,0,,0,67.7,0.0,67.7,1,1,1,1
165,2,0.989894,0.5,1,1,2.0,2,116.9,130.6,247.5,1,1,1,1
166,0,0.0,0.5,0,0,,0,249.4,0.0,249.4,1,1,1,1
167,3,0.989894,0.5,1,1,2.0,2,150.3,150.0,300.3,1,1,1,1
168,2,0.989894,0.5,1,1,2.0,2,153.7,178.0,331.7,1,1,1,1
169,0,0.0,0.5,0,0,,0,112.0,0.0,112.0,1,1,1,1
170,3,0.989894,0.5,1,1,2.0,2,104.3,86.0,190.3,1,1,1,1
171,2,0.989894,0.5,1,1,2.0,2,70.2,76.5,146.7,1,1,1,1
172,0,0.0,0.5,0,0,,0,77.2,0.0,77.2,1,1,1,1
173,0,0.0,0.5,0,0,,0,72.0,0.0,72.0,1,1,1,1
174,0,0.0,0.5,0,0,,0,65.6,0.0,65.6,1,1,1,1
175,0,0.0,0.5,0,0,,0,64.1,0.0,64.1,1,1,1,1
176,3,1.0,0.5,1,1,2.0,2,68.6,72.5,141.1,1,1,1,1
177,2,0.989894,0.5,1,1,3.0,3,63.3,72.1,135.4,1,1,1,1
178,0,0.0,0.5,0,0,,0,62.8,0.0,62.8,1,1,1,1
179,2,1.0,0.5,1,1,3.0,3,68.5,71.7,140.2,1,1,1,1
180,2,0.989894,0.5,1,1,3.0,3,61.9,71.1,133.0,1,1,1,1
181,3,0.989894,0.5,1,1,2.0,2,63.1,68.6,131.7,1,1,1,1
182,2,0.989894,0.5,1,1,2.0,2,74.7,74.6,149.3,1,1,1,1
183,3,0.989894,0.5,1,1,2.0,2,63.5,71.6,135.1,1,1,1,1
184,1,0.177465,0.5,0,0,,0,63.8,0.0,63.8,1,1,1,1
185,3,0.989894,0.5,1,1,2.0,2,74.6,74.0,148.6,1,1,1,1
186,2,0.999232,0.5,1,1,3.0,3,63.8,73.1,136.9,1,1,1,1
187,3,0.989894,0.5,1,1,3.0,3,63.1,70.2,133.3,1,1,1,1
188,0,0.0,0.5,0,0,,0,63.8,0.0,63.8,1,1,1,1
189,3,0.989894,0.5,1,1,3.0,3,66.5,72.1,138.6,1,1,1,1
190,3,0.989894,0.5,1,1,3.0,3,62.3,85.7,148.0,1,1,1,1
191,3,0.989894,0.5,1,1,2.0,2,86.6,95.6,182.2,1,1,1,1
192,0,0.0,0.5,0,0,,0,69.7,0.0,69.7,1,1,1,1
193,2,0.989894,0.5,1,1,2.0,2,67.2,74.3,141.5,1,1,1,1
194,0,0.0,0.5,0,0,,0,65.2,0.0,65.2,1,1,1,1
195,0,0.0,0.5,0,0,,0,99.2,0.0,99.2,1,1,1,1
196,2,0.989894,0.5,1,1,2.0,2,76.1,115.0,191.1,1,1,1,1
197,1,0.989894,0.5,1,1,1.0,1,146.3,148.8,295.1,1,1,1,1
198,3,0.989894,0.5,1,1,2.0,2,120.0,147.4,267.4,1,1,1,1
199,1,0.997497,0.5,1,1,1.0,1,115.3,128.6,243.9,1,1,1,1
200,0,0.177465,0.5,0,0,,0,93.7,0.0,93.7,1,1,1,1
201,0,0.0,0.5,0,0,,0,82.6,0.0,82.6,1,1,1,1
202,3,0.989894,0.5,1,1,2.0,2,124.5,102.7,227.2,1,1,1,1
203,3,0.999232,0.5,1,1,2.0,2,91.9,86.5,178.4,1,1,1,1
204,0,0.0,0.5,0,0,,0,74.5,0.0,74.5,1,1,1,1
205,3,0.989894,0.5,1,1,3.0,3,67.4,75.3,142.7,1,1,1,1
206,1,0.989894,0.5,1,1,1.0,1,67.5,75.6,143.1,1,1,1,1
207,1,0.989894,0.5,1,1,1.0,1,66.4,74.7,141.1,1,1,1,1
208,0,0.0,0.5,0,0,,0,66.6,0.0,66.6,1,1,1,1
209,2,1.0,0.5,1,1,2.0,2,66.8,75.9,142.7,1,1,1,1
210,1,0.989894,0.5,1,1,1.0,1,66.0,74.4,140.4,1,1,1,1
211,3,0.989894,0.5,1,1,3.0,3,64.9,72.4,137.3,1,1,1,1
212,0,0.0,0.5,0,0,,0,68.5,0.0,68.5,1,1,1,1
213,2,0.999232,0.5,1,1,3.0,3,64.2,70.8,135.0,1,1,1,1
214,1,0.999232,0.5,1,1,1.0,1,63.0,70.8,133.8,1,1,1,1
215,1,1.0,0.5,1,1,1.0,1,63.6,70.2,133.8,1,1,1,1
216,0,0.0,0.5,0,0,,0,63.1,0.0,63.1,1,1,1,1
217,1,0.997497,0.5,1,1,1.0,1,63.7,71.9,135.6,1,1,1,1
218,3,0.989894,0.5,1,1,3.0,3,64.8,70.4,135.2,1,1,1,1
219,1,1.0,0.5,1,1,1.0,1,63.2,72.0,135.2,1,1,1,1
220,0,0.0,0.5,0,0,,0,63.6,0.0,63.6,1,1,1,1
221,2,0.989894,0.5,1,1,3.0,3,63.9,81.5,145.4,1,1,1,1
222,2,0.989894,0.5,1,1,2.0,2,191.6,161.4,353.0,1,1,1,1
223,2,0.989894,0.5,1,1,2.0,2,154.6,117.8,272.4,1,1,1,1
224,3,0.989894,0.5,1,1,3.0,3,93.7,109.7,203.4,1,1,1,1
225,2,0.989894,0.5,1,1,2.0,2,203.0,187.9,390.9,1,1,1,1
226,2,1.0,0.5,1,1,2.0,2,118.3,113.6,231.9,1,1,1,1
227,2,1.0,0.5,1,1,2.0,2,87.9,85.0,172.9,1,1,1,1
228,0,0.0,0.5,0,0,,0,89.8,0.0,89.8,1,1,1,1
229,0,0.0,0.5,0,0,,0,69.6,0.0,69.6,1,1,1,1
