model_name,model_family,feature_count,precision,parameters,model_file_size_bytes,model_file_size_kb,estimated_or_measured_RAM,MACs,test_accuracy,test_macro_f1,accuracy_drop,macro_f1_drop,mean_latency_us,p95_latency_us,p99_latency_us
tflite_mlp_14f_fp32,"MLP (16,8)",14,FP32,412,3892,3.8,statically calculated (weights + activation buffer ~1.8 KB),384,0.726339,0.728019,0.0,0.0,1.06,1.5,2.1
tflite_mlp_12f_fp32,"MLP (16,8)",12,FP32,380,3780,3.69,statically calculated (weights + activation buffer ~1.7 KB),352,0.753125,0.732679,-0.026786,-0.00466,0.96,1.6,2.1
tflite_mlp_14f_int8,"MLP (16,8)",14,INT8,412,3728,3.64,statically calculated (weights INT8 + activation buffer ~0.5 KB),384,0.725982,0.685213,0.000357,0.042806,1.05,1.3,2.3
tflite_mlp_12f_int8,"MLP (16,8)",12,INT8,380,3712,3.62,statically calculated (weights INT8 + activation buffer ~0.5 KB),352,0.749286,0.670692,-0.022946,0.057326,1.11,1.5,3.6
pruned_mlp_14f_0pct,"Pruned MLP (16,8)",14,FP32,407,3892,3.8,statically calculated (active params FP32 + buffer),384,0.726339,0.728019,0.0,0.0,1.06,1.6,2.2
pruned_mlp_14f_25pct,"Pruned MLP (16,8)",14,FP32,371,3920,3.83,statically calculated (active params FP32 + buffer),288,0.727143,0.730783,-0.000804,-0.002765,0.94,1.3,1.9
pruned_mlp_14f_50pct,"Pruned MLP (16,8)",14,FP32,316,3920,3.83,statically calculated (active params FP32 + buffer),192,0.726964,0.729384,-0.000625,-0.001365,0.9,1.0,1.5
pruned_mlp_14f_75pct,"Pruned MLP (16,8)",14,FP32,303,3920,3.83,statically calculated (active params FP32 + buffer),96,0.739107,0.725546,-0.012768,0.002472,0.94,1.3,2.1
student_a_8_4_fp32,"Distilled MLP (8, 4)",14,FP32,176,2976,2.91,statically calculated (student params FP32 + buffer),160,0.716339,0.722001,0.01,0.006018,0.97,1.4,2.0
student_a_8_4_int8,"Distilled MLP (8, 4)",14,INT8,176,3208,3.13,statically calculated (student params INT8 + buffer),160,0.710714,0.683858,0.015625,0.044161,1.19,1.7,3.5
student_b_16_4_fp32,"Distilled MLP (16, 4)",14,FP32,328,3584,3.5,statically calculated (student params FP32 + buffer),304,0.751429,0.738717,-0.025089,-0.010699,0.99,1.5,1.9
student_b_16_4_int8,"Distilled MLP (16, 4)",14,INT8,328,3576,3.49,statically calculated (student params INT8 + buffer),304,0.745,0.689024,-0.018661,0.038995,1.17,1.8,2.2
